text,label
nothing tastes as good as sk1nny feels,1
st4rv.ng is a lifestyle not a phase,1
skip dinner wake up thinner,1
only water till friday who's with me,1
your stomach is not grumbling it's applauding,1
cw 52 gw 44 ugw 40,1
body check after a 3 day f4st,1
meanspo needed be brutal,1
thinspo dump to keep you motivated,1
if you eat today you start over tomorrow,1
collarbones or nothing,1
chew and spit doesn't count right,1
burn everything you ate and then some,1
a moment on the lips forever on the hips,1
safe foods list: ice cubes black coffee gum,1
hunger is just weakness leaving the body,1
don't eat past 6 or it all turns to fat,1
one bite ruins everything,1
you don't deserve dinner after that,1
low restriction day only 300 today,1
flat stomach challenge day 12 no food,1
liquid fast week two join us,1
purge the guilt away,1
ribs visible = progress,1
just say you already ate they'll stop asking,1
pro ana coach dm me for meal plans,1
what a lovely sunset today,0
trying a new pasta recipe tonight,0
my cat knocked the plant over again,0
finished a 5k run feeling great,0
meal prep sunday chicken rice and veggies,0
recovery win: had breakfast with my family,0
new album from my favorite band dropped,0
anyone else love thunderstorm sounds,0
intuitive eating changed my relationship with food,0
strength training beginner tips please,0
homemade bread came out perfect,0
what's your comfort movie,0
picnic in the park with friends,0
learning to crochet a scarf,0
my therapist recommended journaling,0
best hiking trails near the city,0
balanced lunch ideas for work,0
celebrating one year of recovery today,0
the gym was packed this morning,0
trying to drink more water during the day,0
fueling properly before the marathon,0
grandma's soup recipe never fails,0
started a book club with coworkers,0
rest days are part of training too,0
listening to your body is a skill,0
weekend farmers market haul,0
